edad,antiguedad,salario,horas_extra,satisfaccion,proyectos_completados,evaluacion_desempeno,departamento,nivel,educacion,abandono
24.0,4.0,,2.70565237355407,8.199954507203367,4.0,3.137440750650351,Marketing,Junior,Bachiller,0
50.0,10.0,73514.84315484687,,6.206227148325272,1.0,4.4705505240835794,IT,Mid,Maestría,0
56.0,6.0,63707.145640547875,8.824250162245201,9.904251969120185,5.0,4.565152500511555,Marketing,Mid,Universitario,0
60.0,13.0,,3.148827971258763,1.7908721263098824,7.0,3.873422161391252,IT,Junior,Universitario,0
39.0,3.0,51430.56489097609,1.4802891425884104,7.412289143252015,1.0,3.3409767332575044,Finanzas,Senior,Universitario,0
41.0,3.0,58310.82138499494,2.9932357316868003,2.024956801258144,1.0,,RRHH,Mid,Universitario,0
64.0,12.0,76956.3437322282,0.14944254813162947,7.946784031609171,1.0,3.61357810442094,IT,Mid,Bachiller,0
44.0,7.0,65779.1369595957,8.151683758105975,4.475887098667281,3.0,1.9479383771880805,Marketing,Senior,Bachiller,0
55.0,1.0,,0.22765907451781311,9.752409828010773,4.0,2.6865981301610087,Finanzas,Junior,Bachiller,0
54.0,7.0,70487.10642867773,0.48043825496398324,,3.0,1.9518837113932457,Ventas,Junior,Universitario,0
31.0,13.0,63627.70672420652,2.4502055538127183,7.969553366687093,2.0,1.0124310583837537,Finanzas,Mid,Doctorado,0
54.0,10.0,68629.35662385734,1.3974167683744532,6.52130969009036,3.0,2.0589413043538127,Finanzas,Junior,Universitario,0
54.0,16.0,79228.9530920416,6.86204685262603,8.726793311674587,4.0,1.6154845410345384,RRHH,Mid,Universitario,1
47.0,14.0,78932.11389778805,2.0655757782818265,4.416142406310716,3.0,2.0354671218317963,IT,Junior,Universitario,0
41.0,17.0,83685.73240774972,,8.241980533259003,1.0,2.1367843012129786,Ventas,Junior,Maestría,0
36.0,18.0,75000.13434786805,10.213361519659443,6.105900615039386,,3.4680271688395368,IT,Junior,Universitario,1
58.0,11.0,73983.21486930066,5.692079884411192,9.489989611625372,5.0,3.3131292489166397,IT,Mid,Maestría,0
,3.0,58594.99706053318,3.070153060783844,,3.0,1.4660541792578234,RRHH,Mid,Universitario,0
38.0,11.0,69949.22206839146,2.615344018303311,3.372784210277781,3.0,3.0011934915220295,RRHH,Mid,Maestría,1
26.0,0.0,42986.65869275298,4.615543472469353,1.8959724585407614,2.0,1.136284724205931,RRHH,Junior,Universitario,0
25.0,11.0,66577.4736747541,2.4395773720785776,7.844731533255402,2.0,2.134180163541223,RRHH,Junior,Maestría,0
24.0,8.0,64293.17493845099,8.659059032586798,4.71544631750127,6.0,4.101573503607537,RRHH,Mid,Maestría,0
42.0,,,6.180721166783547,3.3147939229913597,2.0,1.9570247753711767,IT,Mid,Universitario,1
61.0,18.0,95073.44399584565,,3.6708942874940464,3.0,1.9796272950696538,Ventas,Junior,Universitario,0
24.0,4.0,50162.18543039338,0.07318496254119966,3.265951783400295,3.0,2.9175627105542636,Ventas,Senior,Universitario,0
42.0,17.0,82521.56650394495,1.81259602967768,6.566997863128546,0.0,3.725134870767414,RRHH,Mid,Universitario,0
,9.0,52640.670314263545,0.11492922649984022,5.195906779439594,6.0,2.539458667786781,Ventas,Mid,Maestría,0
63.0,6.0,71538.59700150912,,1.2701477212708627,3.0,,RRHH,Senior,Bachiller,0
57.0,,76982.92798758697,11.636429860685995,8.940897059879328,0.0,3.513934047228895,IT,Junior,Maestría,0
50.0,,65182.9237027893,2.3865502996168813,2.267802640328623,7.0,4.350881789699534,Finanzas,Senior,Bachiller,0
60.0,5.0,64458.575562026,4.275850572608569,1.2148512463017025,5.0,4.295624402182992,Ventas,Junior,Maestría,0
55.0,,81870.3161113414,9.889486225393927,3.0811313598323955,4.0,1.6678545208278086,Marketing,Senior,Maestría,0
43.0,7.0,52827.55028520749,3.767566369701713,7.378680216045085,4.0,2.640565053380583,Ventas,Junior,Maestría,0
52.0,12.0,72403.9538104029,3.5575927192774053,3.11531277038067,3.0,4.601799405567741,RRHH,Mid,Universitario,0
,9.0,73345.7833649828,14.785354470770091,7.564001144786374,3.0,4.6635014314670755,Finanzas,Junior,Maestría,0
56.0,5.0,63784.39390268747,0.5629161964707172,,1.0,1.9462898341161439,Finanzas,Junior,Bachiller,0
55.0,13.0,87689.28711575095,18.997656249677107,2.60726041688679,4.0,3.859950150487583,Finanzas,Mid,Bachiller,0
34.0,16.0,,4.292666781847364,1.5763709037763927,4.0,2.461659602916898,Ventas,Junior,Maestría,1
62.0,18.0,97150.83366452341,12.292918433825362,6.024535380176782,1.0,2.9047987358629936,RRHH,Junior,Bachiller,0
25.0,13.0,56816.52416117574,,1.8684657188938565,3.0,1.2431600381376064,IT,Senior,Universitario,1
64.0,2.0,61770.70453722457,10.65039809957429,1.430851417965442,1.0,3.3558529669655797,Ventas,Senior,Bachiller,1
27.0,16.0,68514.22748205459,,1.5713330758236168,3.0,3.631522405943525,Finanzas,Mid,Maestría,0
,1.0,38704.341680801765,6.569182198973902,7.9373043815968,4.0,3.522442666505584,RRHH,Senior,Bachiller,0
33.0,1.0,51771.81444468094,9.557811235088987,7.285201027341213,4.0,4.215712791816899,IT,Junior,Bachiller,0
56.0,0.0,60291.65367970085,1.8782217069644445,4.9386562928781,1.0,3.464113721058795,Ventas,Mid,Universitario,0
32.0,14.0,,0.6641671448204095,9.542399075342718,4.0,4.082555644725744,RRHH,Senior,Universitario,0
44.0,2.0,55949.13888133616,0.19741489418664182,6.43080070539089,,1.8276126015669925,Ventas,Mid,Universitario,1
35.0,9.0,61609.25743107965,3.5839138724910975,5.966671228894203,4.0,1.6600999131533585,RRHH,Mid,Universitario,0
40.0,3.0,51184.18790712458,1.0805430658872857,6.259638326709909,1.0,,Ventas,Junior,Universitario,0
58.0,14.0,78305.27264333428,,8.523129337345704,6.0,4.17867101633607,Ventas,Mid,Bachiller,0
37.0,3.0,59497.8496809847,1.646090452277559,5.767781476619346,6.0,1.1040125985506157,Ventas,Mid,Bachiller,0
49.0,6.0,61218.713272214285,2.508457086772134,1.831129784516861,2.0,,IT,Junior,Doctorado,1
52.0,11.0,76591.11704789515,1.556399731538976,9.595719896182855,5.0,1.7754965974389298,RRHH,Junior,Universitario,0
28.0,4.0,51478.26335684558,1.1066856754124208,5.495201552757961,3.0,3.9732776192981696,IT,Mid,Doctorado,0
48.0,15.0,81749.45386225785,10.526506200702954,9.593069185828496,3.0,1.2228891424772743,RRHH,Senior,Universitario,0
38.0,8.0,64825.1412155282,3.507082900095939,2.9894685473777995,0.0,1.7363982898602313,IT,Junior,Bachiller,1
28.0,6.0,,4.2221390671448775,,1.0,4.906566254339294,RRHH,Mid,Universitario,0
36.0,4.0,58522.48572480591,4.598996780667595,,,1.213223974475817,Marketing,Senior,Universitario,0
61.0,16.0,87323.8933047197,5.0648723445906505,2.751847573232575,2.0,1.3379351352177813,IT,Senior,Bachiller,1
33.0,16.0,70871.68690424848,3.6358108969152263,8.639648657325644,2.0,4.309929341814721,Ventas,Junior,Universitario,0
29.0,16.0,73686.36356663375,0.46944594960509256,4.026505787077056,4.0,2.696519707120681,Finanzas,Junior,Universitario,0
