edad,nivel_educacion,estado_civil,tipo_empleo,region,historial_credito,ingreso_mensual,monto_solicitado,antiguedad_empleo,aprobado
53,Tecnico,Soltero,Empleado,Oeste,Bueno,3272.7002337403505,27028.740917834064,8,1
57,Posgrado,Soltero,Autonomo,Norte,Bueno,3686.499602569708,34456.195509512385,23,1
58,Universitario,Divorciado,Autonomo,Centro,Malo,6279.996237093857,12628.393883842826,17,1
35,Universitario,Soltero,Empleado,Oeste,Excelente,4274.276533760043,22442.289443935886,7,1
48,Secundaria,Soltero,Empleado,Norte,Bueno,7570.276303322703,42948.6712795828,18,1
40,Secundaria,Casado,Empleado,Centro,Bueno,2914.4701761807405,9203.72443956631,2,0
52,Secundaria,Casado,Empleado,Este,Bueno,3793.065763651489,14011.244675074344,8,1
30,Universitario,Casado,Empleado,Norte,Regular,6466.089035449098,22826.250089015477,12,1
59,Universitario,Soltero,Autonomo,Oeste,Bueno,4731.377071909402,35900.195700356686,8,0
38,Universitario,Casado,Empleado,Sur,Malo,4738.602654256024,19418.31378498802,24,1
40,Secundaria,Soltero,Empleado,Centro,Excelente,1184.0491736373212,46458.88170936719,19,1
25,Posgrado,Soltero,Empleado,Centro,Bueno,3669.917571572882,5628.39551216724,11,1
32,Universitario,Divorciado,Autonomo,Centro,Bueno,2749.282873436474,19169.405679697527,22,1
43,Secundaria,Soltero,Empleado,Este,Regular,7995.212884384031,35738.752047992675,12,0
25,Secundaria,Casado,Autonomo,Este,Bueno,3020.156508552634,12073.35151741313,7,1
38,Secundaria,Casado,Empleado,Oeste,Bueno,7168.375050515817,33164.243577253976,14,1
29,Tecnico,Soltero,Desempleado,Norte,Bueno,5668.882892291438,9046.630953139951,12,1
55,Tecnico,Divorciado,Desempleado,Este,Bueno,3254.598146183051,3743.0339582226325,20,1
32,Tecnico,Soltero,Empleado,Este,Bueno,4713.447524293691,6929.770120683794,12,1
52,Secundaria,Casado,Empleado,Norte,Excelente,6851.858335634195,46569.2543735726,16,1
32,Universitario,Viudo,Empleado,Este,Bueno,7160.251745822566,28035.793264038013,14,0
59,Secundaria,Casado,Empleado,Centro,Excelente,1954.8359000442456,40020.942998502804,24,0
42,Secundaria,Divorciado,Autonomo,Centro,Excelente,3244.9266166988214,17300.07054434751,21,1
51,Tecnico,Soltero,Autonomo,Norte,Bueno,3213.606897537716,30040.273746386887,18,1
31,Tecnico,Casado,Autonomo,Norte,Regular,1102.722531746802,25252.654551544587,2,0
47,Universitario,Soltero,Autonomo,Sur,Bueno,5107.311870933655,47341.1600107124,13,0
48,Secundaria,Casado,Empleado,Centro,Excelente,6954.704381543754,37631.15716665141,9,1
29,Tecnico,Viudo,Empleado,Norte,Regular,3547.335592343728,36796.588943332375,16,1
60,Universitario,Soltero,Autonomo,Oeste,Bueno,6128.258803886075,3271.310202279697,7,0
29,Secundaria,Casado,Empleado,Norte,Excelente,5319.442977925328,27933.813781180863,17,1
29,Universitario,Soltero,Autonomo,Oeste,Bueno,3504.670895549606,23882.581241188927,11,1
55,Secundaria,Casado,Empleado,Sur,Bueno,1815.630556344539,46464.271063703534,16,1
37,Secundaria,Casado,Empleado,Oeste,Regular,5907.131739986965,13609.75742128708,22,1
62,Posgrado,Viudo,Pensionado,Sur,Regular,6952.869216376931,14221.839211263621,10,1
34,Posgrado,Casado,Empleado,Oeste,Bueno,5738.152345290741,21155.96619519352,8,1
44,Universitario,Soltero,Pensionado,Sur,Malo,928.72508505069,12925.115956912425,21,0
33,Tecnico,Soltero,Pensionado,Oeste,Regular,2356.876839615137,7330.011972628725,23,0
48,Secundaria,Soltero,Autonomo,Centro,Excelente,1300.2558911614296,43013.32748588924,23,0
43,Universitario,Soltero,Autonomo,Norte,Regular,4906.779916948833,28355.549695791877,24,1
53,Tecnico,Soltero,Empleado,Centro,Excelente,6246.639287650969,43206.773228871774,22,1
48,Secundaria,Divorciado,Desempleado,Este,Excelente,1596.170146894348,41725.6035047811,24,1
23,Tecnico,Casado,Empleado,Norte,Regular,6836.0323082723735,14820.075384693884,14,1
54,Secundaria,Casado,Empleado,Este,Malo,4799.664644447479,27839.134771889425,8,1
