edad,salario,años_experiencia,horas_trabajo,satisfaccion,num_proyectos,num_empleados,departamento,ciudad,genero,nivel_educacion,tamaño_empresa
39,26561.5151758099,11.055893153495136,29.674584768718397,6.587805137043788,6,50,Finanzas,Barcelona,F,Grado,Grande
33,44262.88377075306,5.953321381575205,40.14228790591579,4.723549179308597,3,500,RRHH,Sevilla,F,Máster,Grande
41,46491.04968430388,5.079922537666619,29.610940900719015,7.482051251840791,3,10,RRHH,Sevilla,M,Bachillerato,Mediana
50,41371.060055976326,18.381398330038813,38.39851097731679,8.071454131928315,3,500,Ventas,Madrid,F,Bachillerato,Pequeña
32,27580.035074335603,7.984315793544814,48.21689077902267,7.879390033792824,3,10,Ventas,Sevilla,M,Grado,Pequeña
32,25956.784928833233,10.0,41.803239457178975,8.952397220059702,3,500,Ventas,Valencia,M,Máster,Mediana
50,35854.44992353604,9.51124297882522,35.68253197517533,5.006425819049173,7,500,IT,Madrid,M,Máster,Mediana
42,65275.0075759705,5.63845996252829,39.84398255530458,6.462132367315919,3,50,Finanzas,Sevilla,M,Grado,Mediana
30,47657.72794203482,8.0,40.090084360222235,9.447864345832592,5,50,RRHH,Valencia,F,Grado,Pequeña
40,30172.700390264956,5.662695174135454,42.36315172921703,5.834221678448124,3,500,Finanzas,Sevilla,F,Bachillerato,Mediana
30,53415.13198564667,8.0,33.16570818359587,6.051239351926968,2,50,RRHH,Barcelona,F,Grado,Pequeña
30,8740.552569316042,8.0,42.962836369236655,5.080226948815713,1,100,RRHH,Madrid,F,Grado,Mediana
37,64497.57145316192,9.430733950282129,26.478041841986126,8.428278593752385,4,100,RRHH,Barcelona,M,Máster,Mediana
18,15216.61361013713,-4.0,36.850577238180946,6.555828091247039,2,10,RRHH,Madrid,M,Grado,Pequeña
18,30296.25932629014,-4.0,37.558630787742274,3.122346055031524,4,500,Marketing,Madrid,M,Máster,Grande
29,20747.168379057013,7.0,43.166634130356194,9.199194991073645,5,10,Marketing,Barcelona,M,Bachillerato,Mediana
24,19008.837130319607,2.0,40.113154263384345,6.45550512752229,0,500,IT,Madrid,M,Grado,Grande
38,64887.70203103506,12.130866139808747,32.97218473071857,7.514216125253299,2,10,Ventas,Madrid,F,Grado,Pequeña
25,28742.996005443925,3.0,35.07503437091492,7.4214124382118225,2,100,RRHH,Sevilla,F,Máster,Pequeña
20,43185.14895184159,-2.0,40.99340004773703,6.044565697312246,2,10,Finanzas,Valencia,M,Grado,Pequeña
49,35473.4465316931,10.063432313906954,39.604663290677216,9.138866299006176,1,50,Marketing,Barcelona,M,Máster,Pequeña
32,46097.79576399503,9.554924224351495,37.104379451821266,9.014993834138442,2,50,Ventas,Sevilla,F,Grado,Pequeña
35,37737.55175758407,10.10246507041444,37.595831052440104,6.6135729765320415,2,100,IT,Sevilla,F,Bachillerato,Pequeña
20,19120.26197065685,-2.0,43.48083998579644,7.235936420680745,7,50,Ventas,Barcelona,M,Bachillerato,Grande
29,59762.485465116995,3.984544790218894,37.41153713565393,7.132513360624671,2,500,RRHH,Madrid,F,Máster,Grande
36,28370.9697206613,6.191921906474518,39.559543779854636,7.356046381197823,3,50,Ventas,Barcelona,F,Máster,Grande
23,16675.720040149572,1.0,50.849682940402715,7.055423294092188,1,100,RRHH,Valencia,M,Grado,Grande
38,29317.574266652195,3.8818589398917065,32.881586815580384,6.740174024436345,4,100,Marketing,Valencia,M,Bachillerato,Mediana
28,76909.13163455467,6.0,30.740786342126707,7.773442104512678,2,10,Marketing,Barcelona,F,Grado,Mediana
32,55554.00396548048,10.0,43.91794832399303,8.590172518547767,3,50,RRHH,Sevilla,F,Grado,Pequeña
28,30505.855653154762,4.878857031712735,36.606784693529484,7.576618004460467,5,50,Finanzas,Barcelona,M,Bachillerato,Pequeña
53,30496.620337242824,6.915586139872142,38.4088123612869,9.357205995372723,3,50,Marketing,Valencia,F,Grado,Mediana
34,30920.741213537327,12.0,36.09421810934443,6.470218511453375,3,50,Finanzas,Barcelona,F,Grado,Grande
24,102577.51049948523,2.0,38.700999296162436,8.784970844338657,3,100,RRHH,Madrid,F,Máster,Mediana
43,43957.02478230376,11.65562121691719,47.992690560481705,7.259875433346636,4,10,RRHH,Barcelona,M,Grado,Grande
22,45027.145652274325,0.0,44.0106422930906,7.121709638023316,6,100,Marketing,Sevilla,F,Máster,Pequeña
37,60787.63812782903,6.250074232943655,44.311117559434884,8.435677190202073,5,500,Finanzas,Madrid,F,Grado,Mediana
18,40920.83311708051,-4.0,32.91886472103677,8.484192818510747,1,50,RRHH,Valencia,M,Bachillerato,Mediana
